Region,Province,Municipality,Year,Count
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,1992,1
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,1997,1
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2000,2
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2001,4
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2002,8
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2003,1
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2004,1
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2005,5
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2006,16
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2007,8
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2008,8
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2009,17
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2010,29
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2011,15
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2012,17
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2013,18
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2014,8
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2015,18
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2016,35
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2017,7
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2018,12
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2019,2
Region I - Ilocos Region,ILOCOS NORTE,ADAMS,2020,3
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,1988,185
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,1989,204
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,1990,276
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,1991,285
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,1992,248
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,1993,286
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,1994,226
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,1995,282
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,1996,281
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,1997,229
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,1998,203
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,1999,181
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2000,261
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2001,239
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2002,207
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2003,217
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2004,266
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2005,242
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2006,234
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2007,308
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2008,204
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2009,304
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2010,399
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2011,324
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2012,286
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2013,274
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2014,242
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2015,265
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2016,284
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2017,223
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2018,233
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2019,191
Region I - Ilocos Region,ILOCOS NORTE,BACARRA,2020,44
Region I - Ilocos Region,ILOCOS NORTE,BADOC,1988,58
Region I - Ilocos Region,ILOCOS NORTE,BADOC,1989,79
Region I - Ilocos Region,ILOCOS NORTE,BADOC,1990,67
Region I - Ilocos Region,ILOCOS NORTE,BADOC,1991,96
Region I - Ilocos Region,ILOCOS NORTE,BADOC,1992,100
Region I - Ilocos Region,ILOCOS NORTE,BADOC,1993,68
Region I - Ilocos Region,ILOCOS NORTE,BADOC,1994,87
Region I - Ilocos Region,ILOCOS NORTE,BADOC,1995,84
Region I - Ilocos Region,ILOCOS NORTE,BADOC,1996,108
Region I - Ilocos Region,ILOCOS NORTE,BADOC,1997,107
Region I - Ilocos Region,ILOCOS NORTE,BADOC,1998,59
Region I - Ilocos Region,ILOCOS NORTE,BADOC,1999,39
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2000,82
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2001,70
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2002,44
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2003,42
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2004,71
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2005,100
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2006,110
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2007,75
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2008,129
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2009,71
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2010,144
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2011,141
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2012,106
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2013,113
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2014,108
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2015,107
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2016,82
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2017,83
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2018,98
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2019,60
Region I - Ilocos Region,ILOCOS NORTE,BADOC,2020,18
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,1988,49
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,1989,52
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,1990,79
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,1991,40
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,1992,61
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,1993,35
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,1994,65
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,1995,55
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,1996,55
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,1997,49
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,1998,45
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,1999,22
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2000,55
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2001,40
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2002,62
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2003,50
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2004,53
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2005,59
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2006,56
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2007,80
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2008,57
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2009,71
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2010,101
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2011,102
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2012,58
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2013,49
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2014,54
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2015,91
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2016,81
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2017,87
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2018,57
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2019,89
Region I - Ilocos Region,ILOCOS NORTE,BANGUI,2020,4
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),1988,42
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),1989,55
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),1990,66
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),1991,49
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),1992,48
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),1993,75
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),1994,61
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),1995,27
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),1996,55
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),1997,34
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),1998,41
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),1999,34
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2000,54
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2001,41
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2002,29
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2003,31
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2004,61
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2005,52
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2006,32
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2007,53
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2008,36
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2009,47
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2010,69
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2011,73
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2012,63
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2013,63
