Years,Biomass,Coal,Geothermal,Hydro,Natural Gas,Oil-based,Solar,Wind,Grand Total,RE_Total,Fossil_Total,RE_Share_Pct
1990,0,1934,5466,6062,0,12434,0,0,25896,11528,14368,44.5165
1991,0,1942,5758,5145,0,12804,0,0,25649,10903,14746,42.5085
1992,0,1791,5700,4440,0,13939,0,0,25870,10140,15730,39.196
1993,0,2015,5667,5030,0,13867,0,0,26579,10697,15882,40.2461
1994,0,1348,6320,5862,0,16929,0,0,30459,12182,18277,39.9947
1995,0,2109,6135,6232,0,19078,0,0,33554,12367,21187,36.857
1996,0,4855,6534,7030,0,18288,0,0,36707,13564,23143,36.9521
1997,0,7363,7237,6069,12,19116,0,0,39797,13306,26491,33.4347
1998,0,9388,8914,5084,20,18174,0,0,41580,13998,27582,33.6652
1999,0,11183,10594,7840,16,11799,0,0,41432,18434,22998,44.4922
2000,0,16663,11626,7799,17,9185,0,0,45290,19425,25865,42.8903
2001,0,18789,10442,7104,848,9858,0,0,47041,17546,29495,37.2994
2002,0,16128,10242,7033,8771,6293,0,0,48467,17275,31192,35.6428
2003,0,14939,9822,7870,13139,7170,0,0,52940,17692,35248,33.419
2004,0,16194,10282,8593,12384,8504,0,0,55957,18875,37082,33.7313
2005,0,15257,9902,8387,16861,6141,2,17,56567,18308,38259,32.3652
2006,0,15294,10465,9939,16366,4665,1,53,56783,20458,36325,36.0284
2007,0,16837,10215,8563,18789,5148,1,58,59611,18837,40774,31.5999
2008,0,15749,10723,9843,19576,4868,1,61,60821,20628,40193,33.9159
2009,14,16476,10324,9788,19887,5381,1,64,61935,20191,41744,32.6003
2010,27,23301,9929,7803,19518,7101,1,62,67742,17822,49920,26.3086
2011,115,25342,9942,9698,20591,3398,1,88,69175,19844,49331,28.6867
2012,183,28265,10250,10252,19642,4254,1,75,72922,20761,52161,28.4701
2013,212,32081,9605,10019,18791,4491,1,66,75266,19903,55363,26.4435
2014,196,33054,10308,9137,18690,5708,17,152,77262,19810,57452,25.64
2015,367,36686,11044,8665,18878,5886,139,748,82413,20963,61450,25.4365
2016,726,43303,11070,8111,19854,5661,1097,975,90797,21979,68818,24.2067
2017,1013,46847,10270,9611,20547,3787,1201,1094,94370,23189,71181,24.5724
2018,1105,51932,10435,9384,21334,3173,1249,1153,99765,23326,76439,23.3809
2019,1040,57890,10691,8025,22354,3752,1246,1042,106040,22044,83996,20.7884
2020,1261,58176,10757,7192,19497,2474,1373,1026,101756,21609,80147,21.2361
